Date,Hour,Day,Holiday,Load,Load,t-3,Load,t-3,,t-3,t-2,t-3,t-2,t-2,t-1,t-2,t-1,t-1,t-1,H/o,H/o,h/o,W/o,,W/O,Month,d-1,month,d-1,d-1
8/1/2014,0,Friday,,28.5,0.091935484,28.5,01:00.1,0.091935484,2:0.091935484,02:00.1,34.3,00:00.1,0.110645161,03:00.1,32.6,00:00.1,0.10516129,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,28.5,7:01,0.091935484,08:00.1
,1,,,34.3,0.110645161,34.3,01:00.1,0.110645161,2:0.110645161,02:00.1,32.6,00:00.1,0.10516129,03:00.1,28.5,00:00.1,0.091935484,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,34.3,7:01,0.110645161,08:00.1
,2,,,32.6,0.10516129,32.6,01:00.1,0.10516129,2:0.10516129,02:00.1,28.5,00:00.1,0.091935484,03:00.1,34.3,00:00.1,0.110645161,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,32.6,7:01,0.10516129,08:00.1
,3,,,32.7,0.105483871,28.5,01:00.1,0.091935484,2:0.091935484,02:00.1,34.3,00:00.1,0.110645161,03:00.1,32.6,00:00.1,0.10516129,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,32.7,7:01,0.105483871,08:00.1
,4,,,32.8,0.105806452,34.3,01:00.1,0.110645161,2:0.110645161,02:00.1,32.6,00:00.1,0.10516129,03:00.1,32.7,00:00.1,0.105483871,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,32.8,7:01,0.105806452,08:00.1
,5,,,32.4,0.104516129,32.6,01:00.1,0.10516129,2:0.10516129,02:00.1,32.7,00:00.1,0.105483871,03:00.1,32.8,00:00.1,0.105806452,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,32.4,7:01,0.104516129,08:00.1
,6,,,39.9,0.128709677,32.7,01:00.1,0.105483871,2:0.105483871,02:00.1,32.8,00:00.1,0.105806452,03:00.1,32.4,00:00.1,0.104516129,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,39.9,7:01,0.128709677,08:00.1
,7,,,84.7,0.273225806,32.8,01:00.3,0.105806452,2:0.105806452,02:00.1,32.4,00:00.1,0.104516129,03:00.1,39.9,00:00.1,0.128709677,04:00.1,00:00.1,1,5:1,5:01,0,6:0,6:00,1,84.7,7:01,0.273225806,08:00.3
,8,,,110.3,0.355806452,32.4,01:00.4,0.104516129,2:0.104516129,02:00.1,39.9,00:00.1,0.128709677,03:00.1,84.7,00:00.1,0.273225806,04:00.3,00:00.3,1,5:1,5:01,0,6:0,6:00,1,110.3,7:01,0.355806452,08:00.4
,9,,,202.8,0.654193548,39.9,01:00.7,0.128709677,2:0.128709677,02:00.1,84.7,00:00.1,0.273225806,03:00.3,110.3,00:00.3,0.355806452,04:00.4,00:00.4,1,5:1,5:01,0,6:0,6:00,1,202.8,7:01,0.654193548,08:00.7
,10,,,226.4,0.730322581,84.7,01:00.7,0.273225806,2:0.273225806,02:00.3,110.3,00:00.3,0.355806452,03:00.4,202.8,00:00.4,0.654193548,04:00.7,00:00.7,1,5:1,5:01,1,6:1,6:01,1,226.4,7:01,0.730322581,08:00.7
,11,,,207.3,0.668709677,110.3,01:00.7,0.355806452,2:0.355806452,02:00.4,202.8,00:00.4,0.654193548,03:00.7,226.4,00:00.7,0.730322581,04:00.7,00:00.7,1,5:1,5:01,1,6:1,6:01,1,207.3,7:01,0.668709677,08:00.7
,12,,,221.8,0.715483871,202.8,01:00.7,0.654193548,2:0.654193548,02:00.7,226.4,00:00.7,0.730322581,03:00.7,207.3,00:00.7,0.668709677,04:00.7,00:00.7,1,5:1,5:01,1,6:1,6:01,1,221.8,7:01,0.715483871,08:00.7
,13,,,251.4,0.810967742,226.4,01:00.8,0.730322581,2:0.730322581,02:00.7,207.3,00:00.7,0.668709677,03:00.7,221.8,00:00.7,0.715483871,04:00.7,00:00.7,1,5:1,5:01,1,6:1,6:01,1,251.4,7:01,0.810967742,08:00.8
,14,,,280.3,0.904193548,207.3,01:00.9,0.668709677,2:0.668709677,02:00.7,221.8,00:00.7,0.715483871,03:00.7,251.4,00:00.7,0.810967742,04:00.8,00:00.8,1,5:1,5:01,1,6:1,6:01,1,280.3,7:01,0.904193548,08:00.9
,15,,,267.1,0.861612903,221.8,01:00.9,0.715483871,2:0.715483871,02:00.7,251.4,00:00.7,0.810967742,03:00.8,280.3,00:00.8,0.904193548,04:00.9,00:00.9,1,5:1,5:01,1,6:1,6:01,1,267.1,7:01,0.861612903,08:00.9
,16,,,242,0.780645161,251.4,01:00.8,0.810967742,2:0.810967742,02:00.8,280.3,00:00.8,0.904193548,03:00.9,267.1,00:00.9,0.861612903,04:00.9,00:00.9,1,5:1,5:01,1,6:1,6:01,1,242,7:01,0.780645161,08:00.8
